2019-03-08 20:02:04,048:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:03:50,512:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:05:00,060:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:08:14,915:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:12:42,894:INFO:Begin running with train_and_evaluate mode
2019-03-08 20:22:29,211:INFO:Begin running with train_and_evaluate mode
2020-05-11 14:12:01,412:INFO:step: 265, loss: 7.2632
2020-05-11 14:12:10,250:INFO:step: 266, loss: 7.3852
2020-05-11 14:12:19,355:INFO:step: 267, loss: 7.2733
2020-05-11 14:12:28,470:INFO:step: 268, loss: 7.2164
2020-05-11 14:12:37,408:INFO:step: 269, loss: 7.2645
2020-05-11 14:12:46,713:INFO:step: 270, loss: 7.2394
2020-05-11 14:12:55,823:INFO:step: 271, loss: 6.8845
2020-05-11 14:13:04,856:INFO:step: 272, loss: 7.0664
2020-05-11 14:13:13,729:INFO:step: 273, loss: 7.0926
2020-05-11 14:13:22,559:INFO:step: 274, loss: 6.6127
2020-05-11 14:13:31,527:INFO:step: 275, loss: 7.0746
2020-05-11 14:13:44,503:INFO:step: 276, loss: 7.1033
2020-05-11 14:14:02,262:INFO:step: 277, loss: 6.5822
2020-05-11 14:14:14,465:INFO:step: 278, loss: 7.1010
2020-05-11 14:14:23,897:INFO:step: 279, loss: 6.9188
2020-05-11 14:14:34,906:INFO:step: 280, loss: 7.0619
2020-05-11 14:14:56,659:INFO:step: 281, loss: 6.9969
2020-05-11 14:15:11,622:INFO:step: 282, loss: 6.5406
2020-05-11 14:15:26,334:INFO:step: 283, loss: 6.6454
2020-05-11 14:15:39,081:INFO:step: 284, loss: 7.3362
2020-05-11 14:15:48,682:INFO:step: 285, loss: 6.8825
2020-05-11 14:15:58,569:INFO:step: 286, loss: 7.0346
2020-05-11 14:16:07,026:INFO:step: 287, loss: 6.4427
2020-05-11 14:16:13,618:INFO:step: 288, loss: 6.4879
2020-05-11 14:16:20,165:INFO:step: 289, loss: 6.9507
2020-05-11 14:16:26,724:INFO:step: 290, loss: 6.8722
2020-05-11 14:16:33,288:INFO:step: 291, loss: 6.8340
2020-05-11 14:16:40,342:INFO:step: 292, loss: 7.0074
2020-05-11 14:16:46,996:INFO:step: 293, loss: 6.8321
2020-05-11 14:16:53,527:INFO:step: 294, loss: 6.8165
2020-05-11 14:17:00,128:INFO:step: 295, loss: 6.7928
2020-05-11 14:17:06,692:INFO:step: 296, loss: 6.3919
2020-05-11 14:17:13,208:INFO:step: 297, loss: 6.9595
2020-05-11 14:17:20,031:INFO:step: 298, loss: 6.9704
2020-05-11 14:17:27,214:INFO:step: 299, loss: 6.5757
2020-05-11 14:17:33,751:INFO:step: 300, loss: 6.7766
2020-05-11 14:17:40,239:INFO:step: 301, loss: 6.7565
2020-05-11 14:17:46,716:INFO:step: 302, loss: 6.9234
2020-05-11 14:17:53,372:INFO:step: 303, loss: 6.7322
2020-05-11 14:17:59,897:INFO:step: 304, loss: 6.8759
2020-05-11 14:18:06,382:INFO:step: 305, loss: 7.3136
2020-05-11 14:18:12,927:INFO:step: 306, loss: 6.7140
2020-05-11 14:18:19,422:INFO:step: 307, loss: 6.8769
2020-05-11 14:18:26,033:INFO:step: 308, loss: 6.7774
2020-05-11 14:18:32,626:INFO:step: 309, loss: 6.2312
2020-05-11 14:18:39,285:INFO:step: 310, loss: 6.7162
2020-05-11 14:18:45,848:INFO:step: 311, loss: 6.6775
2020-05-11 14:18:52,565:INFO:step: 312, loss: 6.5974
2020-05-11 14:18:59,108:INFO:step: 313, loss: 6.6504
2020-05-11 14:19:05,644:INFO:step: 314, loss: 6.2440
2020-05-11 14:19:12,163:INFO:step: 315, loss: 6.4073
2020-05-11 14:19:18,649:INFO:step: 316, loss: 6.1415
2020-05-11 14:19:25,167:INFO:step: 317, loss: 6.6085
2020-05-11 14:19:31,696:INFO:step: 318, loss: 6.4342
2020-05-11 14:19:38,343:INFO:step: 319, loss: 6.9496
2020-05-11 14:19:45,076:INFO:step: 320, loss: 6.0709
2020-05-11 14:19:51,846:INFO:step: 321, loss: 5.9543
2020-05-11 14:19:58,550:INFO:step: 322, loss: 6.7875
2020-05-11 14:20:05,202:INFO:step: 323, loss: 6.9157
2020-05-11 14:20:11,661:INFO:step: 324, loss: 6.6830
2020-05-11 14:20:19,291:INFO:step: 325, loss: 6.5087
2020-05-11 14:20:25,808:INFO:step: 326, loss: 6.4722
